	sample_id	condition	percentIndels
0	Lba1	Lba	0.8464100659565793
1	Lba2	Lba	0.8934017384015015
2	Lba3	Lba	0.8949433426645405
3	Lba4	Lba	0.8216192539434307
4	Lba5	Lba	0.5848501289951863
5	Lba6	Lba	0.6080745831214777
6	Lba7	Lba	0.7381193288551253
7	Lba8	Lba	0.7576646490361219
8	Sau1	Sau	0.5630319671300856
9	Sau2	Sau	0.7017981679203135
10	Sau3	Sau	0.672164191966816
11	Sau4	Sau	0.7213240047451417
12	Sau5	Sau	0.7432459325626417
13	Sau6	Sau	0.6429386910250728
14	Sau7	Sau	0.41262965160482445
15	Sau8	Sau	0.43607715475266257
16	Spy1	Spy	0.18167722798756025
17	Spy2	Spy	0.2515117452205726
18	Spy3	Spy	0.21009920845751254
19	Spy4	Spy	0.22978207392949535
20	Spy5	Spy	0.26159393249114227
21	Spy6	Spy	0.2373022246451114
22	Spy7	Spy	0.2952611300376006
