sample	umi	reference	output.dir	fastq1	fastq2	barcode.fastq1	barcode.fastq2	barcode1	barcode2
Control1	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control1_R1.fastq.gz	/my_data/Control1_R2.fastq.gz	NA	NA	ALL	ALL
Control2	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control2_R1.fastq.gz	/my_data/Control2_R2.fastq.gz	NA	NA	ALL	ALL
Control3	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control3_R1.fastq.gz	/my_data/Control3_R2.fastq.gz	NA	NA	ALL	ALL
Control4	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control4_R1.fastq.gz	/my_data/Control4_R2.fastq.gz	NA	NA	ALL	ALL
Control5	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control5_R1.fastq.gz	/my_data/Control5_R2.fastq.gz	NA	NA	ALL	ALL
Control6	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control6_R1.fastq.gz	/my_data/Control6_R2.fastq.gz	NA	NA	ALL	ALL
Control7	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control7_R1.fastq.gz	/my_data/Control7_R2.fastq.gz	NA	NA	ALL	ALL
Control8	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control8_R1.fastq.gz	/my_data/Control8_R2.fastq.gz	NA	NA	ALL	ALL
Control9	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control9_R1.fastq.gz	/my_data/Control9_R2.fastq.gz	NA	NA	ALL	ALL
Control10	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control10_R1.fastq.gz	/my_data/Control10_R2.fastq.gz	NA	NA	ALL	ALL
Control11	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control11_R1.fastq.gz	/my_data/Control11_R2.fastq.gz	NA	NA	ALL	ALL
Control12	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control12_R1.fastq.gz	/my_data/Control12_R2.fastq.gz	NA	NA	ALL	ALL
Control13	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control13_R1.fastq.gz	/my_data/Control13_R2.fastq.gz	NA	NA	ALL	ALL
Control14	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Control14_R1.fastq.gz	/my_data/Control14_R2.fastq.gz	NA	NA	ALL	ALL
Lba1	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba1_R1.fastq.gz	/my_data/Lba1_R2.fastq.gz	NA	NA	ALL	ALL
Lba2	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba2_R1.fastq.gz	/my_data/Lba2_R2.fastq.gz	NA	NA	ALL	ALL
Lba3	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba3_R1.fastq.gz	/my_data/Lba3_R2.fastq.gz	NA	NA	ALL	ALL
Lba4	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba4_R1.fastq.gz	/my_data/Lba4_R2.fastq.gz	NA	NA	ALL	ALL
Lba5	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba5_R1.fastq.gz	/my_data/Lba5_R2.fastq.gz	NA	NA	ALL	ALL
Lba6	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba6_R1.fastq.gz	/my_data/Lba6_R2.fastq.gz	NA	NA	ALL	ALL
Lba7	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba7_R1.fastq.gz	/my_data/Lba7_R2.fastq.gz	NA	NA	ALL	ALL
Lba8	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Lba8_R1.fastq.gz	/my_data/Lba8_R2.fastq.gz	NA	NA	ALL	ALL
Sau1	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau1_R1.fastq.gz	/my_data/Sau1_R2.fastq.gz	NA	NA	ALL	ALL
Sau2	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau2_R1.fastq.gz	/my_data/Sau2_R2.fastq.gz	NA	NA	ALL	ALL
Sau3	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau3_R1.fastq.gz	/my_data/Sau3_R2.fastq.gz	NA	NA	ALL	ALL
Sau4	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau4_R1.fastq.gz	/my_data/Sau4_R2.fastq.gz	NA	NA	ALL	ALL
Sau5	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau5_R1.fastq.gz	/my_data/Sau5_R2.fastq.gz	NA	NA	ALL	ALL
Sau6	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau6_R1.fastq.gz	/my_data/Sau6_R2.fastq.gz	NA	NA	ALL	ALL
Sau7	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau7_R1.fastq.gz	/my_data/Sau7_R2.fastq.gz	NA	NA	ALL	ALL
Sau8	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Sau8_R1.fastq.gz	/my_data/Sau8_R2.fastq.gz	NA	NA	ALL	ALL
Spy1	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Spy1_R1.fastq.gz	/my_data/Spy1_R2.fastq.gz	NA	NA	ALL	ALL
Spy2	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Spy2_R1.fastq.gz	/my_data/Spy2_R2.fastq.gz	NA	NA	ALL	ALL
Spy3	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Spy3_R1.fastq.gz	/my_data/Spy3_R2.fastq.gz	NA	NA	ALL	ALL
Spy4	FALSE	/my_data/barcode.referenceseq.fa	/my_data/OUTPUT	/my_data/Spy4_R1.fastq.gz	/my_data/Spy4_R2.fastq.gz	NA	NA	ALL	ALL
